名前,かな表記,生年月日,年齢,国籍,出身地,身長(cm),体重(kg),クラス（初回レベル分け）,クラス（再評価後）,最終結果,最終順位,備考,自己紹介公式動画
青木 聖波,あおき まさなみ,2001年8月4日,22,日本,東京都,170,55,B,D,第3回発表脱落,27,,○
安慶田 真樹,あげだ まさき,1998年5月27日,25,日本,沖縄県,172,65,D,F,第2回発表脱落,49,,○
アルジャマ 勇心,あるじゃま ゆうじん,2001年8月1日,22,日本 カナダ フィリピン,バンクーバー,170,60,C,F,第1回発表脱落,77,カナディアン・インターナショナルスクール在学中,○
安藤 誠明,あんどう ともあき,1996年12月19日,27,日本,福岡県,173,63,B,B,最終選考脱落,14,「DEEP VOCALIST AUDITION」に出演,○
安藤 優,あんどう ゆう,1998年10月23日,25,日本,山形県,178,65,F,C,第2回発表脱落,47,,○
イ・ミンヒョク,い みんひょく,1991年1月15日,33,韓国,ソウル特別市 茨城県,170,50,B,D,第2回発表脱落,42,マルチタレントとしての経歴あり,○
井汲 大翔,いくみ ひろと,2002年8月23日,21,日本,大阪府,169,53,C,D,第2回発表脱落,36,,○
池本 正義,いけもと まさよし,2001年11月7日,22,日本,兵庫県,169,52,C,C,第1回発表脱落,92,,○
石井 健太郎,いしい けんたろう,1997年4月23日,26,日本,東京都,185,64,F,F,第1回発表脱落,96,,○
石井 祐輝,いしい ゆうき,1997年10月6日,26,日本,群馬県,177,56,C,D,第1回発表脱落,73,「『あんさんぶるスターズ！』」オン・ステージ〜Take your marks!〜出演 (深海奏汰 役)[28],○
五十畑 颯斗,いそはた はやと,1992年12月4日,31,日本,東京都,172,55,B,D,第1回発表脱落,70,,○
稲吉 ひかり,いなよし ひかり,2000年7月27日,23,日本,神奈川県,181,60,B,C,第1回発表脱落,74,,○
井上 港人,いのうえ みなと,1999年12月26日,24,日本,滋賀県,176,68,C,B,最終選考脱落,18,,○
今西 正彦,いまにし まさひこ,2001年7月7日,22,日本,大阪府,171,65,F,B,最終選考脱落,17,,○
岩崎 琉斗,いわさき りゅうと,2000年10月6日,23,日本,愛知県,175,58,D,F,第2回発表脱落,50,,○
上原 潤,うえはら じゅん,1996年11月23日,27,韓国,東京都,177,62,C,B,最終選考脱落,20,「PRODUCE X 101」出演 兄は俳優の上原一翔[29],○
内田 脩斗,うちだ しゅうと,1998年11月1日,25,日本,東京都,187,69,D,D,第2回発表脱落,58,,○
浦野 秀太,うらの しゅうた,1997年6月17日,26,日本,神奈川県,178,61,C,C,第3回発表脱落,32,元 ジャニーズJr. BLOWのメンバー,○
大川 澪哉,おおかわ れいや,1999年11月12日,24,日本,大阪府,178,68,B,B,第1回発表脱落,78,,○
大澤 駿弥,おおさわ しゅんや,1997年5月18日,26,日本,東京都,176,61,D,B,最終選考脱落,13,,○
大平 祥生,おおひら しょうせい,2000年4月13日,23,日本,京都府,176,63,C,B,最終選考合格,4,,○
大水 陸渡,おおみず りくと,1999年6月22日,24,日本,長崎県,172,58,B,F,第1回発表脱落,64,,○
岡田 武大,おかだ たけひろ,1999年12月3日,24,日本,愛知県,175,55,C,C,第2回発表脱落,54,,-
岡野 海斗,おかの かいと,2001年1月21日,23,日本,埼玉県,168,53,C,D,第3回発表脱落,31,,○
男澤 直樹,おざわ なおき,1998年12月5日,25,日本,福岡県,170,60,B,B,第3回発表脱落,29,X'LOCOのメンバー,○
片上 勇士,かたがみ ゆうし,1997年6月27日,26,日本,大阪府,171,49,F,F,第2回発表脱落,60,,○
川尻 蓮,かわしり れん,1997年3月2日,26,日本,福岡県,173,60,A,A,最終選考合格,2,Wanna One、PENTAGONのバックダンサー経験者[30],○
川西 拓実,かわにし たくみ,1999年6月23日,24,日本,兵庫県,170,57,B,A,最終選考合格,3,,○
菅野 雅浩,かんの まさひろ,1999年10月1日,24,日本,北海道,178,68,C,B,第1回発表脱落,83,,○
北岡 謙人,きたおか けんと,2000年6月9日,23,日本,大阪府,176,53,C,B,第2回発表脱落,48,,○
北川 暉,きたがわ ひかる,1999年2月9日,24,日本,大阪府,168,53,D,D,第2回発表脱落,38,,○
北川 玲叶,きたがわ れいと,2002年9月29日,21,日本,宮崎県,170,52,D,F,第3回発表脱落,24,,○
木原 汰一,きはら たいち,1998年9月2日,25,日本,広島県,178,63,B,F,第1回発表脱落,75,,○
木全 翔也,きまた しょうや,2000年4月5日,23,日本,愛知県,171,60,A,A,最終選考合格,8,,○
キム・ヒチョン,きむ ひちょん,1994年9月2日,29,韓国,ソウル特別市,186,63,A,A,辞退,-,HALOのメンバー,○
キム・ユンドン,きむ ゆんどん,1995年2月19日,28,韓国,京畿道龍仁市,176,61,A,A,辞退,-,HALOのメンバー,○
金城 碧海,きんじょう すかい,2000年5月6日,23,日本,大阪府,178,60,B,F,最終選考合格,10,,○
草地 稜之,くさち りょうの,1998年6月17日,25,日本,東京都,178,60,B,F,第2回発表脱落,51,ミスターオブミスター2019グランプリ受賞,○
グチェレス タケル,ぐちぇれす たける,2001年12月11日,22,日本 フィリピン,フィリピン,171,59,D,C,第1回発表脱落,71,,○
熊澤 歩哉,くまざわ ふみや,1996年10月22日,27,日本,福島県,175,54,B,F,第1回発表脱落,97,,○
黒川 竜聖,くろかわ りゅうせい,1999年12月12日,24,日本,東京都,171,49,F,F,第1回発表脱落,69,,○
河野 純喜,こうの じゅんき,1998年1月20日,26,日本,奈良県,174,64,B,B,最終選考合格,9,,○
古賀 一馬,こが かずま,1996年10月31日,27,日本,東京都,178,56,D,D,第1回発表脱落,61,,○
駒尺 雄樹,こまじゃく ゆうき,1999年12月5日,24,日本,大阪府,184,67,F,D,第1回発表脱落,93,,○
小松 倖真,こまつ こうしん,2001年10月22日,22,日本,兵庫県,165,50,D,D,第3回発表脱落,22,,○
小山 省吾,こやま しょうご,1999年11月18日,24,日本,兵庫県,168,58,F,B,辞退,-,,○
佐々木 真生,ささき まお,2001年1月15日,23,日本,宮城県,175,64,D,B,第2回発表脱落,46,,○
佐藤 來良,さとう らいら,2000年5月9日,23,日本,奈良県,175,63,A,B,最終選考脱落,16,,○
佐藤 隆士,さとう りゅうじ,2001年10月26日,22,日本,埼玉県,171,56,C,C,第3回発表脱落,23,,○
佐藤 景瑚,さとう けいご,1998年7月29日,25,日本,愛知県,181,60,A,A,最終選考合格,7,,○
佐野 文哉,さの ふみや,1997年5月25日,26,日本,山梨県,171,54,B,B,第3回発表脱落,21,,○
白岩 瑠姫,しろいわ るき,1997年11月19日,26,日本,東京都,175,55,C,B,最終選考合格,6,元 ジャニーズJr.・ツキクラ、YsR(仮)の元メンバー,○
鈴木 晨順,すずき しんじゅん,1999年8月9日,24,日本,静岡県,174,61,F,B,第1回発表脱落,84,,○
鈴木 雅,すずき みやび,1996年9月3日,27,日本,兵庫県,180,69,C,F,第2回発表脱落,59,,○
鈴木 玄,すずき げん,2000年9月4日,23,日本,大阪府,175,62,B,C,第1回発表脱落,82,,○
髙野 慧,たかの あきら,2000年6月20日,23,日本,東京都,176,60,D,D,第1回発表脱落,67,,○
瀧澤 翼,たきざわ つばさ,2003年3月2日,20,日本,千葉県,177,60,B,D,第2回発表脱落,37,「Let's天才てれびくん」に出演,○
田口 馨也,たぐち けいや,2003年1月20日,21,日本,茨城県,169,48,C,D,第1回発表脱落,65,元BOYS AND MEN研究生東京,○
田中 雄也,たなか ゆうや,1997年10月11日,26,日本,埼玉県,177,62,B,D,第1回発表脱落,76,,○
チョン・ヨンフン,ちょん よんふん,1993年1月15日,31,韓国,ソウル特別市,180,67,B,C,辞退,-,HALOのメンバー,○
鶴房 汐恩,つるぼう しおん,2000年12月11日,23,日本,滋賀県,178,64,C,A,最終選考合格,5,韓国の芸能事務所で練習生経験あり,○
寺師 敬,てらし けい,1996年7月20日,27,日本,神奈川県,176,65,B,F,第2回発表脱落,40,,○
東郷 良樹,とうごう よしき,1995年6月6日,28,日本,宮崎県,173,60,B,D,第1回発表脱落,79,姉は東郷祐佳[31],○
床波 志音,とこなみ しおん,2000年4月24日,23,日本,熊本県,175,58,C,B,最終選考脱落,19,,○
中川 吟亮,なかがわ ぎんすけ,1999年3月15日,24,日本,福岡県,169,52,F,F,第1回発表脱落,62,,○
中川 勝就,なかがわ かつなり,1997年3月16日,26,日本,兵庫県,183,64,C,B,第1回発表脱落,63,,○
中里 空,なかざと そら,2002年1月20日,22,日本,長崎県,176,61,C,B,第2回発表脱落,39,,○
中谷 日向,なかたに ひゅうが,1998年9月15日,25,日本,大阪府,173,57,F,D,第2回発表脱落,57,,○
中西 直樹,なかにし なおき,1998年2月28日,25,日本,奈良県,178,60,B,C,第1回発表脱落,88,,○
中野 龍之介,なかの りゅうのすけ,1999年7月2日,24,日本,大阪府,178,57,B,F,第2回発表脱落,52,,○
中林 登生,なかばやし とうい,1997年12月27日,26,日本,大阪府,171,57,D,D,第2回発表脱落,55,,○
中本 大賀,なかもと たいが,2001年2月17日,22,日本,大阪府,181,65,D,C,第3回発表脱落,30,「青春高校3年C組」に生徒として出演,○
西 涼太郎,にし りょうたろう,2000年5月19日,23,日本,愛知県,170,66,B,D,第1回発表脱落,66,,○
西尾 航暉,にしお こうき,1999年7月31日,24,日本,北海道,173,54,F,F,第2回発表脱落,53,,○
西野 友也,にしの ともや,1997年3月8日,26,日本,東京都,171,59,D,F,第1回発表脱落,68,,○
西山 和貴,にしやま かずき,1994年10月5日,29,日本,福岡県,170,58,B,C,第1回発表脱落,72,,○
長谷川 怜央,はせがわ れお,1998年8月14日,25,日本,京都府,176,55,F,F,第1回発表脱落,89,,○
秦 健豪,はた けんごう,2001年4月19日,22,日本,メルボルン,163,53,B,B,第1回発表脱落,86,,○
林 龍太,はやし りゅうた,1996年7月23日,27,日本,大阪府,174,61,A,A,第2回発表脱落,43,西野龍太名義で「私の年下王子さま」に出演,○
福地 正,ふくち しょう,1993年9月30日,30,日本,沖縄県,163,54,F,C,第3回発表脱落,28,,○
古屋 亮人,ふるや あきひと,2001年4月4日,22,日本,東京都,173,60,D,D,第2回発表脱落,44,,○
本田 康祐,ほんだ こうすけ,1995年4月11日,28,日本,福島県,175,63,B,B,最終選考脱落,15,WhiteAのメンバー,○
松倉 悠,まつくら はるか,1995年12月7日,28,日本,北海道,173,54,F,F,第1回発表脱落,95,,○
豆原 一成,まめはら いっせい,2002年5月30日,21,日本,岡山県,173,69,A,A,最終選考合格,1,,○
磨田 寛大,みがきだ かんた,1999年9月1日,24,日本,三重県,171,58,F,F,第3回発表脱落,25,,○
三井 瞭,みつい りょう,1997年7月15日,26,日本,東京都,170,60,B,D,第2回発表脱落,41,,○
宮里 龍斗志,みやざと たつとし,1997年9月13日,26,日本,沖縄県,168,62,B,B,第3回発表脱落,26,,○
宮島 優心,みやじま ゆうご,2000年12月13日,23,日本,埼玉県,164,49,B,A,最終選考脱落,12,,○
森 慎二郎,もり しんじろう,2000年6月8日,23,日本,大阪府,181,65,F,F,第1回発表脱落,90,,○
山田 聡,やまだ さとし,1998年2月27日,25,日本,神奈川県,178,63,D,F,第1回発表脱落,85,,○
山田 恭,やまだ きょう,2000年9月27日,23,日本,石川県,178,61,B,C,第2回発表脱落,45,,○
山本 健太,やまもと けんた,2002年9月25日,21,日本,東京都,165,50,D,C,第1回発表脱落,81,,○
結城 樹,ゆうき たつき,1997年3月10日,26,日本,山形県,180,65,D,D,第1回発表脱落,80,,○
與那城 奨,よなしろ しょう,1995年10月25日,28,日本,沖縄県,180,70,B,B,最終選考合格,11,,○
米原 尚平,よねはら しょうへい,1996年2月2日,27,日本,大阪府,188,75,F,D,第1回発表脱落,91,,○
渡邊 公貴,わたなべ こうき,1998年4月8日,25,日本,宮崎県,173,56,D,D,第1回発表脱落,94,渡邊大貴は双子の弟,○
渡邊 大貴,わたなべ たいき,1998年4月8日,25,日本,宮崎県,171,56,D,C,第1回発表脱落,87,渡邊公貴は双子の兄,○
渡辺 龍星,わたなべ りゅうせい,1997年8月15日,26,日本,東京都,184,79,B,D,第2回発表脱落,56,,○
畑 顕矢,はた けんや,1995年9月26日,28,日本,東京都,179,63,D,C,辞退,-,,○
佐藤 一翔,さとう かずと,-,-,日本,福岡県,-,-,C,辞退,辞退,-,第31回ジュノン・スーパーボーイ・コンテスト参加者[32][33],-
片山 湧貴,かたやま ゆうき,-,-,日本,岡山県,-,-,辞退,辞退,辞退,-,,-
